name,category,lat,lng
Max Super Speciality Hospital,Hospital,30.3256,78.0437
Synergy Institute of Medical Sciences,Hospital,30.3120,78.0215
CMI Hospital,Hospital,30.3540,78.0470
Velmed Hospital,Hospital,30.3200,78.0400
Town Table Restaurant,Restaurant,30.3671,78.0712
Black Pepper Restaurant,Restaurant,30.3240,78.0420
Punjab Grill Restaurant,Restaurant,30.3664,78.0707
SBI ATM,ATM,30.3162,78.0322
HDFC ATM,ATM,30.3245,78.0415
ICICI ATM,ATM,30.3302,78.0440
Indian Oil Petrol Pump,Petrol Pump,30.3015,78.0185
HP Petrol Pump,Petrol Pump,30.3188,78.0299
Bharat Petroleum Pump,Petrol Pump,30.3362,78.0361
